official_name,osm_street_name,match_key,zone_numbers,tariff_zone,price_label,time_rules,stall_count,source,source_confidence
VIA ANDREA COSTA,Via Andrea Costa,viaandreacosta,18;20,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,17,amts_piano_generale_sosta,0.82
VIA ANDRONE,Via Androne,viaandrone,8,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,26,amts_piano_generale_sosta,0.82
VIA ANTICO CORSO,Via Antico Corso,viaanticocorso,2,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,32,amts_piano_generale_sosta,0.82
VIA A. DI SANGIULIANO,Via Antonino di Sangiuliano,viaantoninodisangiuliano,2;3,A/B,Tariffa AMTS secondo sottozona: A o B; verifica segnaletica locale,Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,95,amts_piano_generale_sosta,0.82
VIA A. LONGO,Via Antonino Longo,viaantoninolongo,15,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,13,amts_piano_generale_sosta,0.82
VIA DE CURTIS,Via Antonio De Curtis,viaantoniodecurtis,20,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,10,amts_piano_generale_sosta,0.82
VIA MANCINI,Via Antonio Mancini,viaantoniomancini,2,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,11,amts_piano_generale_sosta,0.82
VIA SANTANGELO FULCI,Via Antonio Santangelo Fulci,viaantoniosantangelofulci,43,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,37,amts_piano_generale_sosta,0.82
VIA AOSTA,Via Aosta,viaaosta,17,A,"0,90 EUR prima ora; 1,00 EUR dalla seconda; mezza giornata 3,95 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,4,amts_piano_generale_sosta,0.82
VIA ARCHIMEDE,Via Archimede,viaarchimede,20,B,"0,90 EUR/ora; mezza giornata 3,60 EUR",Feriali 08:00-14:00 e 15:00-21:00; verifica segnaletica locale,31,amts_piano_generale_sosta,0.82
